phylum,class,order,family,genus,species,country,adm1,lon,lat
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Florida,-87.129990000000006,30.610724999999999
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Florida,-81.228187000000005,29.586404999999999
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Florida,-84.304664000000002,30.449149999999999
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Florida,-81.704903000000002,30.489584000000001
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Georgia,-81.640804000000003,30.742066999999999
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Florida,-85.195469000000003,30.587879999999998
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Florida,-87.404371999999995,30.364977000000000
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Florida,-82.423682999999997,27.470922000000002
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Florida,-81.174516999999994,28.591335999999998
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Florida,-84.308152000000007,30.445938999999999
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Florida,-82.329155000000000,27.761257000000001
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Florida,-84.304362999999995,30.445567000000000
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Florida,-81.446770000000001,30.318413000000000
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Florida,-87.307866000000004,30.417983000000000
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Florida,-80.691350000000000,28.041422000000001
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Florida,-82.628906999999998,28.032657000000000
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Florida,-81.551832000000005,28.213754000000002
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Florida,-81.100420000000000,28.510038000000002
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Florida,-81.581312999999994,28.531555000000001
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Florida,-85.634935999999996,30.153755000000000
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Florida,-81.194396999999995,28.534230000000001
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Florida,-82.228286999999995,27.761633000000000
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Florida,-85.586941999999993,30.157798000000000
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Florida,-81.381037000000006,30.173430000000000
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Florida,-81.596512000000004,28.495819999999998
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Florida,-82.436584999999994,29.580497000000001
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Florida,-87.202899000000002,30.415436000000000
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Florida,-82.314712999999998,29.616658000000001
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Florida,-81.866501000000000,27.983688999999998
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Florida,-82.324826000000002,29.651926000000000
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Florida,-86.543227999999999,30.798794999999998
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Florida,-82.326203000000007,28.340527999999999
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Texas,-97.733320000000006,30.171652999999999
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Texas,-99.448087999999998,27.565372000000000
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Texas,-97.704042999999999,30.277812000000001
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Texas,-95.660899000000001,29.911473999999998
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Texas,-95.530233999999993,29.477309000000002
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Texas,-97.626597000000004,30.503947000000000
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Texas,-95.730147000000002,29.739478999999999
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Texas,-97.652743999999998,30.692174999999999
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Texas,-98.344854999999995,26.244319999999998
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Texas,-94.655837000000005,29.446121000000002
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Texas,-97.587822000000003,29.594238000000001
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Texas,-95.718671000000001,29.560179000000002
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Texas,-97.856966999999997,30.095776999999998
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Texas,-95.114113000000003,29.482106999999999
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Texas,-98.190533000000002,29.865950000000002
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Texas,-97.393485999999996,27.648817999999999
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Texas,-98.446879999999993,29.689726000000000
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Texas,-96.991848000000005,28.850425999999999
